task,filepath,label,label_idx,split,phash
T4_HAM,/kaggle/input/datasets/rayeedaabir/ham10000-preprocessed/organized_ham10000/Actinic Keratoses/ISIC_0024329.jpg,Actinic Keratoses,12,train,91cece33662306be
T4_HAM,/kaggle/input/datasets/rayeedaabir/ham10000-preprocessed/organized_ham10000/Actinic Keratoses/ISIC_0024372.jpg,Actinic Keratoses,12,val,b44d8a9b99d64c65
T4_HAM,/kaggle/input/datasets/rayeedaabir/ham10000-preprocessed/organized_ham10000/Actinic Keratoses/ISIC_0024418.jpg,Actinic Keratoses,12,train,a627999c662399d6
T4_HAM,/kaggle/input/datasets/rayeedaabir/ham10000-preprocessed/organized_ham10000/Actinic Keratoses/ISIC_0024450.jpg,Actinic Keratoses,12,train,d54e55e856bd4a11
T4_HAM,/kaggle/input/datasets/rayeedaabir/ham10000-preprocessed/organized_ham10000/Actinic Keratoses/ISIC_0024463.jpg,Actinic Keratoses,12,val,da2595d906da4b35
T4_HAM,/kaggle/input/datasets/rayeedaabir/ham10000-preprocessed/organized_ham10000/Actinic Keratoses/ISIC_0024468.jpg,Actinic Keratoses,12,train,a5d6d8932d71da0a
T4_HAM,/kaggle/input/datasets/rayeedaabir/ham10000-preprocessed/organized_ham10000/Actinic Keratoses/ISIC_0024470.jpg,Actinic Keratoses,12,train,d59b163f1881c795
T4_HAM,/kaggle/input/datasets/rayeedaabir/ham10000-preprocessed/organized_ham10000/Actinic Keratoses/ISIC_0024511.jpg,Actinic Keratoses,12,train,c17d083b35d51d74
T4_HAM,/kaggle/input/datasets/rayeedaabir/ham10000-preprocessed/organized_ham10000/Actinic Keratoses/ISIC_0024517.jpg,Actinic Keratoses,12,val,b0909db9623dd34e
T4_HAM,/kaggle/input/datasets/rayeedaabir/ham10000-preprocessed/organized_ham10000/Actinic Keratoses/ISIC_0024522.jpg,Actinic Keratoses,12,train,9154c89776614d7e
T4_HAM,/kaggle/input/datasets/rayeedaabir/ham10000-preprocessed/organized_ham10000/Actinic Keratoses/ISIC_0024539.jpg,Actinic Keratoses,12,train,a1e3910dd69e4d66
T4_HAM,/kaggle/input/datasets/rayeedaabir/ham10000-preprocessed/organized_ham10000/Actinic Keratoses/ISIC_0024562.jpg,Actinic Keratoses,12,train,e5f69a9971644c07
T4_HAM,/kaggle/input/datasets/rayeedaabir/ham10000-preprocessed/organized_ham10000/Actinic Keratoses/ISIC_0024575.jpg,Actinic Keratoses,12,train,d38bcce534d80b66
T4_HAM,/kaggle/input/datasets/rayeedaabir/ham10000-preprocessed/organized_ham10000/Actinic Keratoses/ISIC_0024579.jpg,Actinic Keratoses,12,val,b4c3c737398ec413
T4_HAM,/kaggle/input/datasets/rayeedaabir/ham10000-preprocessed/organized_ham10000/Actinic Keratoses/ISIC_0024646.jpg,Actinic Keratoses,12,test,f0339379c99c34c3
T4_HAM,/kaggle/input/datasets/rayeedaabir/ham10000-preprocessed/organized_ham10000/Actinic Keratoses/ISIC_0024654.jpg,Actinic Keratoses,12,train,d1e044e547b11fcd
